name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Smokey and the Bandit II,PG,Action,1980,"August 15, 1980 (United States)",5.3,15000.0,Hal Needham,Hal Needham,Burt Reynolds,United States,,66132626.0,Universal Pictures,100.0
Hellraiser,R,Horror,1987,"September 18, 1987 (United States)",7.0,108000.0,Clive Barker,Clive Barker,Andrew Robinson,United Kingdom,,14575193.0,New World Pictures,94.0
Chocolate,R,Action,2008,"February 6, 2008 (Thailand)",7.0,18000.0,Prachya Pinkaew,Napalee,JeeJa Yanin,Thailand,,3179014.0,Sahamongkol Film International,110.0
Heaven and Earth,PG-13,Action,1990,"February 8, 1991 (United States)",7.0,958.0,Haruki Kadokawa,Haruki Kadokawa,Takaaki Enoki,Japan,42000000.0,,Haruki Kadokawa Films,125.0
That Darn Cat,PG,Action,1997,"February 14, 1997 (United States)",4.7,4200.0,Bob Spiers,Gordon Gordon,Christina Ricci,United States,,18301610.0,Walt Disney Pictures,89.0
